,SGST reimbursement,Motor Vehicle Tax Exemption,Registration Fee Exemption,Road Tax Exemption,Electricity cost for charging
Andra Pradesh,100,No,100,100,9.95
Assam,No,No,100,100,5.25-6.75
Delhi,No,No,100,100,8
Gujarat,No,No,No,No,4-4.1
Karnataka,No,No,No,No,5
Kerala,No,No,100,100,5
Madhya Pradesh,No,For early adopters,For early adopters,No,5.9-6
Maharastra,No,No,100,100,4.05-4.24
Manipur,No,No,100,100,6.75
Odisha,No,No,NO,No,4.2-5.7
Tamil Nadu,No,No,100,100,5-8.05
Telengana,No,No,For early adopters,For early adopters,6
Uttar Pradesh,No,No,100,"100(4 Wheeler) , 75(others)",5.9-7.7
Uttarakhand,No,100(for 5 years),No,No,6.25
West Bengal,No,No,NO,No,8.99
Himachal Pradesh,,,,,4.7-5
Punjab,,,,,5.4
Rajasthan,,,,,6
Haryana,,,,,6.2
Bihar,,,,,6.3-7.4
Meghalaya,,,,,10.09
Chattisgarh,,,,,5
Jharkhand,,,,,5-6.25
